X-Value, Y-Value, Speed, Number
0.409168556,0.636394479,100,1
0.372618134,0.018391872,94,1
0.375008482,0.620038212,100,2
0.34706236,-0.031480456,94,2
0.288636918,1.147402818,100,5
0.255119666,0.754995268,94,5
0.034160075,1.016356267,100,6
0.036883738,0.423013053,94,6
0.860277723,-0.262468082,100,8
0.783753251,-0.495652019,94,8
0.178138076,0.789225577,100,9
0.162872227,-0.280252844,94,9
0.001699909,0.005553274,100,11
0.289598771,-0.415281324,100,12
0.26292401,1.189454136,94,12
0.148572993,-0.915200971,100,13
0.13066919,-1.441476349,94,13
0.062596647,0.380961734,100,14
0.06107768,-0.730443012,94,14
0.184337744,0.16241987,100,15
0.174323995,0.020463189,94,15
