X-Value,Y-Value,Speed (%),Number
0.061283018,0.065083809,100,1
0.05893354,0.049360423,100,2
0.043089019,0.045813327,94,2
0.042852974,0.042708509,100,5
0.030122416,0.029904976,94,5
0.005118648,0.008578721,100,6
0.003471901,0.015351442,94,6
0.125015417,0.111739342,100,8
0.095309745,0.072469439,94,8
0.027413055,0.022652438,100,9
0.019455002,0.009251693,94,9
-4.89585E-05,0.013039038,100,11
0.044919722,0.049219139,94,11
0.042584495,0.049249171,100,12
0.03318478,0.013897658,94,12
0.021563521,0.021227321,100,13
0.01469642,0.011670571,94,13
0.009568619,0.007449821,100,14
0.006461699,0.003738918,94,14
0.028650777,0.017921158,100,15
0.020180338,0.020816439,94,15
